SensorBelt_detectionDistance (Meters),robot1_jointAngle1 (Degrees),robot1_jointAngle2 (Degrees),robot1_jointAngle3 (Degrees),robot1_jointAngle4 (Degrees),robot1_jointAngle5 (Degrees),robot1_jointAngle6 (Degrees),robot1_jointAngle7 (Degrees),robot2_jointAngle1 (Degrees),robot2_jointAngle2 (Degrees),robot2_jointAngle3 (Degrees),robot2_jointAngle4 (Degrees),robot2_jointAngle5 (Degrees),robot2_jointAngle6 (Degrees),robot2_jointAngle7 (Degrees),robot1_joint1_velocity (Degrees/Seconds),robot1_joint2_velocity (Degrees/Seconds),robot1_joint3_velocity (Degrees/Seconds),robot1_joint4_velocity (Degrees/Seconds),robot1_joint5_velocity (Degrees/Seconds),robot1_joint6_velocity (Degrees/Seconds),robot1_joint7_velocity (Degrees/Seconds),robot2_joint1_velocity (Degrees/Seconds),robot2_joint2_velocity (Degrees/Seconds),robot2_joint3_velocity (Degrees/Seconds),robot2_joint4_velocity (Degrees/Seconds),robot2_joint5_velocity (Degrees/Seconds),robot2_joint6_velocity (Degrees/Seconds),robot2_joint7_velocity (Degrees/Seconds),beltSpeed (Centimeters/Second),torque (Newtonmeter),sensorShelf_detectionDistance (Meters),powerConsumptionGripper (Watt)
100.0,-6.7652,-38.208,76.16,-66.434,10.556,29.615,29.615,-15.513,-34.619,73.237,-64.519,8.8934,29.404,29.404,4.6967,35.845,-16.806,-16.595,14.477,2.7465,2.7465,8.5372,8.4155,-7.8621,21.705,-18.773,-1.4685,-1.4685,0.8,1,100,0
100.0,-6.76,-37.471,76.2,-66.93,11.953,29.484,29.484,-14.238,-35.477,73.119,-63.778,6.508,29.936,29.936,0.10342,14.742,0.81225,-9.9222,27.934,-2.6165,-2.6165,25.511,-17.16,-2.3582,14.812,-47.708,10.63,10.63,0.8,1,100,0
100.0,-6.7632,-36.945,76.341,-67.294,13.194,29.334,29.334,-13.038,-36.256,72.971,-63.204,4.2682,30.446,30.446,-0.064503,10.516,2.8206,-7.2762,24.82,-3.003,-3.003,23.986,-15.579,-2.9633,11.484,-44.797,10.208,10.208,0.8,1,100,0
100.0,-6.7358,-36.599,76.568,-67.553,14.312,29.181,29.182,-11.889,-36.97,72.802,-62.727,2.1565,30.94,30.94,0.54875,6.9098,4.535,-5.175,22.374,-3.0467,-3.0467,22.988,-14.284,-3.3697,9.5405,-42.233,9.8906,9.8906,0.8,1,100,0
100.0,-6.6764,-36.411,76.868,-67.733,15.327,29.033,29.033,-10.778,-37.628,72.616,-62.304,0.15104,31.412,31.412,1.1886,3.7602,6.0003,-3.6078,20.3,-2.9773,-2.9773,22.224,-13.146,-3.7279,8.4697,-40.109,9.4255,9.4255,0.8,1,100,0
100.0,-6.5883,-36.359,77.23,-67.857,16.251,28.892,28.892,-9.6986,-38.232,72.411,-61.9,-1.7638,31.851,31.851,1.7619,1.04,7.2351,-2.4738,18.482,-2.8219,-2.8219,21.583,-12.089,-4.0906,8.08,-38.297,8.7821,8.7821,0.8,1,100,0
100.0,-6.4748,-36.422,77.643,-67.941,17.094,28.762,28.762,-8.6484,-38.786,72.187,-61.487,-3.5984,32.25,32.25,2.2696,-1.2604,8.2551,-1.6819,16.849,-2.585,-2.585,21.003,-11.086,-4.4788,8.2435,-36.691,7.9748,7.9748,0.8,1,100,0
100.0,-6.3384,-36.58,78.096,-67.999,17.861,28.649,28.649,-7.6264,-39.292,71.942,-61.045,-5.3585,32.601,32.601,2.7276,-3.1465,9.0709,-1.1588,15.349,-2.2681,-2.2681,20.44,-10.115,-4.9022,8.8485,-35.203,7.0289,7.0289,0.8,1,100,0
100.0,-6.181,-36.811,78.581,-68.041,18.559,28.555,28.555,-6.6331,-39.751,71.674,-60.556,-7.0474,32.9,32.9,3.1489,-4.632,9.6944,-0.84544,13.947,-1.8782,-1.8782,19.867,-9.1737,-5.3621,9.7903,-33.777,5.9774,5.9774,0.8,1,100,0
100.0,-6.0038,-37.098,79.088,-68.076,19.189,28.484,28.484,-5.6696,-40.164,71.381,-60.007,-8.6664,33.143,33.143,3.5437,-5.737,10.141,-0.69313,12.615,-1.4241,-1.4241,19.268,-8.2645,-5.8555,10.968,-32.381,4.8574,4.8574,0.8,1,100,0
